TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
3,4,2,65145,1,39
1,2,2,45750,1,40
1,2,0,18000,1,44
1,4,2,42496,1,39
2,7,0,42800,1,40
1,3,2,43023,1,40
3,2,2,27916,1,40
1,8,0,6339,1,39
1,2,2,26810,1,34
3,4,0,25576,1,34
1,5,0,42055,1,39
1,2,0,126654,1,43
2,2,0,4922,1,42
2,2,1,77871,1,39
3,3,0,9636,1,39
3,5,1,113564,1,39
1,2,1,39541,1,38
1,2,0,38918,1,39
2,7,0,19095,1,39
1,2,0,75885,1,39
1,2,1,78621,1,40
1,5,0,14233,1,39
3,5,0,35874,1,40
1,2,1,53515,1,43
1,2,0,75600,1,43
3,2,0,45100,1,40
1,4,2,19464,1,44
1,2,1,18000,1,39
1,2,0,57611,1,41
1,3,0,34977,1,39
1,5,0,84147,1,43
1,4,0,3000,1,36
1,2,1,35890,1,45
3,2,1,48040,1,46
1,2,0,40500,1,40
3,4,1,10574,1,40
1,3,0,62000,1,40
1,5,2,71413,1,40
1,5,4,85787,1,40
1,3,2,20000,1,43
3,4,0,20188,1,34
2,2,4,108400,1,39
3,2,0,76398,1,35
3,8,0,8004,1,39
1,6,1,10000,1,39
1,2,1,75150,1,39
1,4,3,118890,1,39
2,3,0,6446,1,39
1,2,1,59600,1,38
1,2,1,47203,1,39
3,2,0,3654,1,43
1,5,1,58331,1,39
3,4,0,72090,1,41
1,4,2,13342,1,40
1,2,0,42634,1,39
1,5,2,0,1,36
3,2,1,122342,1,39
1,4,0,27417,1,43
1,3,3,52115,1,37
1,8,2,3864,1,39
1,4,0,30000,1,43
1,3,2,33630,1,42
1,4,0,19549,1,34
1,2,1,23000,1,46
3,2,1,39135,1,40
3,5,0,76061,1,38
1,2,0,42401,1,41
3,2,0,6687,1,45
1,2,2,31100,1,39
3,4,3,76350,1,39
1,3,2,29230,1,40
1,2,0,44798,1,43
1,2,0,8160,1,43
1,2,2,3001,1,40
1,2,1,70469,1,46
1,3,0,31000,1,39
1,3,0,27760,1,39
1,8,1,22650,1,39
1,2,0,76636,1,41
2,2,0,11108,1,33
1,4,0,68700,1,39
1,2,1,26050,1,39
1,5,0,52800,1,39
1,3,0,102324,1,44
1,5,0,43000,1,39
1,2,1,19500,1,39
3,4,0,38100,1,37
3,2,0,0,1,39
1,2,0,188899,1,37
1,2,1,11654,1,39
3,2,0,33100,1,43
1,4,0,4544,1,38
1,2,0,88020,1,35
3,5,1,41778,1,39
1,2,3,121849,1,43
1,4,3,90114,1,37
2,2,3,100372,1,39
1,2,0,34142,1,34
1,2,1,58004,1,40
1,2,0,20696,1,43
1,2,0,83948,1,39
3,4,1,4744,1,44
1,4,3,45497,1,39
1,3,0,40160,1,39
1,7,2,65745,1,34
1,2,1,20800,1,39
1,2,5,51678,1,36
1,4,0,29224,1,43
1,2,2,69900,1,41
1,5,0,11502,1,39
1,5,2,27240,1,39
1,5,2,29641,1,37
1,2,2,82450,1,39
1,3,2,23140,1,39
1,2,2,17059,1,39
1,2,0,14686,1,43
3,2,0,47016,1,43
1,2,0,52082,1,34
1,2,0,20382,1,39
1,4,0,22327,1,40
1,5,1,15422,1,43
1,4,0,42900,1,39
1,2,3,114999,1,39
3,2,0,38000,2,44
1,2,1,29450,2,39
3,4,2,42000,2,45
1,2,0,126366,2,39
1,6,1,39830,2,39
1,4,0,39034,2,40
1,3,1,36000,2,39
1,2,1,40400,2,39
2,4,0,8071,2,39
1,4,1,15728,2,43
3,4,1,90100,2,34
1,3,2,40602,2,43
1,2,1,52655,2,39
1,5,1,23538,2,43
1,6,1,44561,2,39
1,3,2,50908,2,40
1,4,2,27600,2,39
1,2,2,52745,2,35
1,5,1,31999,2,39
1,2,1,163579,2,39
1,3,3,38988,2,39
3,3,0,25000,2,39
1,2,0,9756,2,40
1,2,1,600,2,39
1,2,2,67783,2,39
3,4,0,16786,2,37
1,2,0,27562,2,40
2,3,3,57180,2,39
1,3,0,19486,2,43
3,3,0,32010,2,43
1,2,2,45691,2,39
3,2,0,13600,2,39
1,4,0,24000,2,40
1,2,0,105417,2,39
1,2,1,22810,2,36
1,2,0,109760,2,40
1,2,1,118254,2,39
1,2,1,68886,2,42
1,5,3,85806,2,43
3,3,4,34109,2,39
1,5,1,27053,2,39
1,3,0,24000,2,33
1,3,0,53034,2,39
1,6,1,28792,2,37
2,2,3,12184,2,39
1,3,2,48370,2,34
1,2,0,44500,2,43
1,4,1,15604,2,39
1,3,2,47231,2,39
1,2,1,21550,2,34
1,4,0,46649,2,43
3,2,1,10200,2,39
1,2,1,152843,2,41
1,2,2,7050,2,40
1,4,0,65987,2,40
1,2,1,30000,2,39
3,3,0,12000,2,41
1,2,1,24500,2,39
1,2,2,29080,2,36
2,2,0,33096,2,39
1,2,0,16554,2,40
1,2,0,49702,2,43
1,5,2,27132,2,39
3,2,0,27591,2,39
1,2,2,50140,2,43
3,4,1,57590,2,41
2,6,0,20250,2,44
3,3,1,25030,2,39
1,4,0,33638,2,40
1,5,0,6467,2,40
1,2,2,8932,2,39
3,2,1,19211,2,43
1,3,1,25273,2,40
3,5,2,44838,2,40
1,2,2,49829,2,41
1,4,0,33100,2,39
1,3,0,46100,2,43
1,2,1,11000,2,44
1,4,0,23046,2,43
1,3,0,15400,2,32
1,2,1,40002,2,39
1,2,1,58223,2,39
1,2,1,43000,2,39
3,5,0,63200,2,40
1,3,2,13100,2,41
1,2,0,30600,2,43
1,3,0,33200,2,39
1,4,0,37400,2,39
1,2,1,36268,2,39
1,5,1,36000,2,41
3,4,1,42030,2,46
1,2,0,30001,2,40
1,2,0,38400,2,43
3,3,0,10962,2,37
1,2,3,24464,2,34
1,3,0,20001,2,43
1,6,4,39114,2,40
1,2,0,32337,2,39
1,3,0,25050,2,39
1,4,0,25525,2,39
1,4,0,49700,2,40
1,3,0,103125,2,43
3,3,0,80800,2,39
1,2,1,7284,2,39
1,2,2,93032,2,40
1,2,2,35000,2,39
1,3,0,41200,2,34
1,4,0,106936,2,34
1,3,0,64,2,45
2,6,0,43331,2,43
1,8,2,0,2,39
1,2,2,42364,2,40
1,2,0,3000,2,43
1,4,0,13000,2,40
1,3,1,58510,2,40
1,6,4,25320,2,40
1,2,2,24326,2,43
1,3,3,34300,2,40
3,3,1,41640,2,40
1,2,3,20014,2,39
1,2,0,40302,2,40
3,6,3,30516,2,42
1,2,2,18400,3,34
1,3,2,52876,3,39
1,2,2,30000,3,39
1,3,1,18000,3,43
3,3,1,2988,3,39
3,3,0,45439,3,42
1,4,3,51000,3,36
1,3,0,33660,3,38
3,6,0,81270,3,44
1,5,1,50045,3,45
1,4,0,1392,3,35
1,2,4,14400,3,39
1,4,1,24041,3,38
1,3,4,39200,3,39
1,2,1,44908,3,45
3,2,1,10500,3,40
3,3,2,13138,3,39
1,5,0,15120,3,34
1,3,0,45045,3,40
1,5,2,60370,3,39
3,2,0,24700,3,31
1,4,0,108127,3,40
1,3,0,21879,3,39
1,3,0,27000,3,39
1,3,0,5100,3,40
1,3,3,25188,3,43
1,2,0,17972,3,35
1,3,2,23798,3,35
1,3,1,27683,3,37
3,9,0,33000,3,40
1,3,0,14709,3,40
1,2,2,24600,3,32
1,4,4,3040,3,41
1,2,0,89750,3,43
1,3,1,56024,3,41
1,3,0,11892,3,34
3,2,2,17345,3,39
1,4,0,7002,3,43
1,4,0,42420,3,40
1,2,0,8800,3,39
1,4,0,58682,3,40
3,4,1,1500,3,43
1,2,0,6540,3,39
3,3,5,7224,3,35
1,3,0,33600,3,43
1,2,3,116242,3,37
1,4,0,29150,3,37
3,5,0,17931,3,40
1,2,1,22263,3,39
1,5,2,99620,3,39
1,3,2,12149,3,39
1,2,1,19430,3,39
3,2,0,33216,3,39
2,2,1,48743,3,34
1,3,0,12114,3,39
1,3,0,67162,3,46
1,2,2,42000,3,39
3,2,0,45100,3,40
3,2,0,18483,3,45
1,5,1,32520,3,44
1,4,0,6052,3,36
1,2,0,8500,3,43
2,5,0,21500,3,39
1,3,1,2712,3,40
1,3,0,33240,3,39
3,4,3,30110,3,40
3,2,1,37907,3,44
3,3,0,6380,3,39
1,5,2,17966,3,43
3,7,1,64240,3,40
1,2,0,65440,3,45
3,5,0,21240,3,43
2,4,0,54022,3,44
1,5,3,24060,3,39
1,2,2,29099,3,39
1,2,1,10004,3,37
1,4,0,43895,3,39
1,2,0,117099,3,36
3,4,0,53844,3,34
1,3,0,42172,3,33
1,4,2,12500,3,43
1,2,0,46015,3,39
1,4,2,8050,3,39
1,2,0,54200,3,39
3,5,2,9615,3,34
1,3,0,4710,3,39
1,4,1,10001,3,34
1,4,0,7345,3,44
3,3,0,83460,3,37
1,2,2,74980,3,37
1,5,0,12844,3,32
1,4,1,29600,3,37
1,4,2,43609,3,46
1,2,2,26037,3,39
3,5,0,8720,3,43
1,3,1,5837,3,40
1,6,1,35200,3,43
1,3,1,10144,3,43
1,2,0,31146,3,35
1,2,0,31573,3,34
1,4,0,42450,3,35
1,4,0,23001,3,34
1,4,0,14725,3,44
1,4,2,38020,3,39
1,4,0,49860,3,39
1,3,1,0,3,39
1,4,1,41000,3,43
3,3,0,5988,3,39
1,4,0,23500,3,40
1,2,0,38040,3,39
1,3,0,52005,3,31
1,2,2,17000,3,44
1,3,3,62824,3,33
1,5,0,107343,3,39
1,3,2,8400,3,33
1,3,1,39110,3,39
1,2,0,16200,3,36
1,2,0,53975,3,44
1,2,0,70390,3,40
1,3,2,4000,3,43
1,3,0,64500,3,40
1,3,0,47000,3,34
1,2,0,37905,3,40
1,4,2,47000,3,40
1,2,0,1958,3,40
1,2,0,53207,3,34
3,3,0,113500,3,42
1,3,2,18572,3,32
1,3,0,71700,3,40
3,3,2,32007,3,43
3,2,3,27342,3,41
3,3,2,34160,3,37
1,3,0,39327,3,44
1,4,3,24949,3,39
1,2,1,46606,3,40
3,2,1,0,3,39
3,2,2,75958,3,34
1,2,2,38637,3,43
3,3,4,40200,3,43
1,2,3,62647,3,39
3,2,1,36841,3,39
3,2,1,72020,3,40
1,4,1,85200,3,39
1,4,3,40091,3,45
1,2,2,46744,3,39
1,3,0,14371,4,34
1,4,0,29300,4,43
1,3,1,39200,4,40
1,2,0,72422,4,41
1,2,0,6832,4,41
1,3,0,36700,4,39
1,2,1,29883,4,43
1,5,2,12412,4,41
1,2,2,25315,4,39
1,3,0,28384,4,45
1,3,0,39090,4,36
1,3,0,67460,4,37
1,6,1,80500,4,33
3,4,0,48500,4,43
1,4,1,54000,4,39
2,2,0,17280,4,39
1,3,6,53452,4,39
1,4,2,11581,4,39
3,6,1,-2000,4,42
3,4,1,6252,4,39
3,2,1,69422,4,39
1,2,0,43010,4,42
1,3,0,59282,4,45
1,4,2,46841,4,34
2,3,0,72606,4,33
3,3,0,19563,4,40
1,4,0,37249,4,40
1,5,0,35501,4,40
1,4,1,122999,4,39
3,3,0,63162,4,44
3,3,0,27816,4,39
1,2,3,39347,4,32
1,4,0,13340,4,40
1,3,2,13340,4,42
3,4,0,56956,4,43
1,2,2,36200,4,35
1,4,2,72713,4,39
1,4,0,18800,4,42
1,2,4,65698,4,46
1,5,4,25935,4,40
1,2,0,29972,4,39
1,2,3,18816,4,40
1,4,1,41000,4,39
1,4,1,30200,4,32
1,3,3,112699,4,36
1,2,1,48000,4,39
3,4,0,17944,4,43
1,4,0,47000,4,34
1,6,0,68600,4,43
3,2,2,131431,4,39
1,4,0,87700,4,39
1,2,1,23442,4,40
1,6,0,75275,4,39
1,3,0,11000,4,39
1,2,3,40081,4,34
1,2,4,57904,4,44
1,3,0,15500,4,43
1,3,1,10664,4,32
1,2,0,99700,4,39
1,4,0,20230,4,33
1,3,0,17875,4,39
1,6,0,55620,4,39
1,4,0,128164,4,39
1,2,0,37500,4,39
3,2,2,42902,4,40
3,4,3,37980,4,34
1,4,0,7596,4,40
1,5,1,48272,4,42
3,5,0,19300,4,40
1,6,2,10200,4,32
1,4,2,16460,4,44
3,6,0,23456,4,43
1,3,1,12006,4,44
1,2,1,24000,4,43
1,3,0,45190,4,33
1,2,2,37108,4,40
1,5,2,30004,4,39
2,2,0,81100,4,32
2,4,3,12000,4,35
1,4,1,12226,4,42
3,5,0,51240,4,33
3,4,0,71734,4,39
1,2,0,68240,4,34
1,3,2,80787,4,41
1,4,1,59010,4,40
3,3,3,36020,4,42
1,8,0,77754,4,35
1,2,0,50190,4,39
2,4,0,35000,4,44
1,3,0,73800,4,35
1,9,0,20510,4,44
1,4,0,67439,4,33
3,4,2,33600,4,39
1,4,0,72145,4,43
2,4,2,25995,4,33
1,2,2,143531,4,37
1,2,0,26338,4,35
3,4,1,46870,4,39
3,3,1,54522,4,43
3,3,1,59830,4,39
1,3,2,48857,4,34
2,4,3,40332,4,41
1,6,4,63970,4,39
1,2,0,95218,4,39
2,2,0,37965,4,33
1,2,1,185999,4,40
1,2,0,69739,4,40
1,4,0,84355,4,40
1,2,0,34700,4,39
1,2,0,17000,4,40
