TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
1,2,1,35055,1,39
1,3,1,28606,1,33
1,3,0,24004,1,39
1,2,0,43975,1,39
1,4,0,50242,1,43
3,2,4,59581,1,39
1,3,0,9456,1,34
1,3,0,60089,1,39
1,3,0,24000,1,40
3,2,0,51057,1,41
1,6,0,6418,1,39
1,4,0,28605,1,39
1,2,2,53235,1,39
1,2,2,9636,1,40
2,2,0,17160,1,40
1,2,0,5402,1,39
1,3,0,121038,1,43
1,2,1,40496,1,40
1,2,0,16587,1,43
1,4,1,33608,1,40
1,2,1,61690,1,39
1,4,0,70800,1,40
1,2,0,5710,1,41
3,3,0,15688,1,39
1,4,0,43024,1,39
3,3,1,78452,1,43
1,4,0,65300,1,43
1,4,1,20010,1,45
1,3,2,51850,1,39
1,6,2,33184,1,34
3,3,2,102932,1,44
1,2,0,83195,1,35
1,4,0,57300,1,39
1,2,2,44832,1,40
1,6,2,52213,1,40
1,2,0,84211,1,43
1,2,1,36372,1,40
1,5,0,43400,1,39
1,4,2,30300,1,42
1,3,2,34727,1,39
1,2,0,45097,1,39
3,5,2,74050,1,43
1,4,0,49105,1,40
1,6,3,125798,1,37
3,2,2,43000,1,43
1,3,0,79120,1,39
1,2,1,31000,1,39
1,3,0,63232,1,44
3,2,1,19172,1,39
1,4,2,105570,1,45
1,2,3,14000,1,39
1,2,3,68030,1,44
1,2,1,7200,1,39
1,3,1,45350,1,46
1,2,2,76550,1,39
1,3,1,28818,1,36
1,4,2,21108,1,43
1,2,0,15012,1,40
3,6,1,132450,1,40
1,3,0,95408,1,33
1,3,0,35300,1,44
2,2,0,15322,1,45
3,4,0,32000,1,36
1,3,1,18389,1,39
3,5,1,19460,1,43
1,2,0,52038,1,39
1,2,3,9864,1,42
1,2,1,40635,1,41
3,2,0,16000,1,39
3,2,0,30111,1,39
1,2,1,7040,1,41
1,2,0,47125,1,39
1,2,0,17175,1,34
1,3,1,81000,1,39
1,5,1,47382,1,43
1,2,0,42050,1,39
1,2,0,100100,1,43
3,2,0,9958,1,44
3,3,2,82430,1,43
1,3,1,78714,1,36
1,2,2,16264,1,39
3,2,0,118,1,43
2,3,2,39159,1,39
1,3,0,47500,1,43
1,2,0,19000,1,39
1,2,0,155099,1,39
1,2,0,39657,1,34
1,2,0,25000,1,45
1,5,2,52467,1,39
1,4,2,64600,1,39
1,3,1,39900,1,40
1,2,2,121721,1,36
1,4,0,27200,1,39
1,2,2,18456,1,40
2,2,2,10501,1,39
3,2,2,21800,1,44
1,2,0,4544,1,39
1,6,0,31102,1,43
