TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
1,2,0,51112,1,41
1,2,0,13806,1,43
1,4,1,14010,1,36
2,3,2,18399,1,36
1,3,2,12000,1,39
1,4,0,94700,1,41
1,3,3,26603,1,42
3,2,0,19850,1,39
1,2,0,51820,1,39
1,4,1,53987,1,40
1,2,0,55107,1,44
1,2,0,11146,1,43
1,4,0,59658,1,39
1,5,2,5376,1,32
1,2,0,55822,1,44
1,3,0,75050,1,39
1,2,0,6468,1,43
2,4,2,86896,1,37
1,2,0,33060,1,33
1,2,6,14775,1,46
1,4,0,35250,1,40
1,5,0,104500,1,40
1,4,0,56309,1,39
1,2,0,78050,1,39
1,4,1,44152,1,43
1,3,0,34360,1,39
1,4,0,51200,1,45
1,4,4,19528,1,36
1,2,3,80200,1,39
3,3,0,38840,1,35
3,4,0,27164,1,40
1,3,2,17725,1,35
1,3,3,95003,1,39
1,2,1,4320,1,42
1,4,0,27400,1,43
1,4,0,60612,1,43
3,3,0,55493,1,39
1,5,1,29524,1,39
3,2,0,69000,1,39
1,2,0,56760,1,43
1,3,0,29176,1,37
1,2,2,24396,1,39
2,2,1,43336,1,43
1,2,2,17200,1,39
1,3,3,81300,1,40
1,2,2,17400,1,43
3,2,0,13500,1,43
1,2,0,7836,1,34
3,2,0,4037,1,45
1,2,0,18000,1,39
2,4,1,10500,1,39
3,4,0,23500,1,45
3,4,3,2868,1,37
1,4,0,18331,1,43
1,4,1,11210,1,39
3,3,0,6393,1,34
1,5,1,126372,1,34
2,3,2,0,1,40
1,5,2,36200,1,40
1,2,0,10308,1,34
2,4,1,12974,1,39
2,2,1,37400,1,39
3,4,2,0,1,39
3,3,0,5616,1,39
1,2,0,52115,1,39
1,4,1,45800,1,46
1,3,1,17190,1,39
3,4,0,5882,1,44
3,7,2,30502,1,39
1,2,1,38024,1,43
3,2,1,15457,1,41
1,3,0,38667,1,34
1,2,0,101158,1,39
1,2,0,33280,1,43
1,4,3,42200,1,44
1,2,1,6871,1,39
1,2,3,30500,1,43
1,3,0,5021,1,41
1,5,2,8394,1,40
1,2,0,31000,1,35
3,4,0,32050,1,39
1,3,3,65656,1,43
1,5,4,78714,1,43
1,2,1,23065,1,41
1,3,2,8264,1,39
1,4,0,52000,1,39
1,2,0,76400,1,43
1,2,1,31402,1,35
2,4,2,40338,1,35
1,4,3,71961,1,39
1,2,0,76214,1,36
3,3,1,113760,1,34
1,2,3,0,1,40
1,2,3,14050,1,34
3,2,3,16700,1,35
1,3,0,31000,1,39
1,2,0,48200,1,39
1,2,6,39020,1,39
2,2,0,29510,1,39
3,2,1,48620,1,34
1,3,0,18650,1,39
1,3,0,21640,1,39
1,4,1,39062,1,39
1,3,0,35504,1,44
1,3,1,136110,1,39
1,4,0,21694,1,43
1,5,1,36400,1,32
1,2,2,19455,1,39
3,2,2,119139,1,43
1,2,0,10294,1,33
1,3,4,4867,1,42
1,3,0,131970,1,39
3,5,2,42200,1,39
1,5,1,10000,1,39
1,2,2,14476,1,39
1,3,1,45900,1,39
1,2,2,80359,1,39
1,5,3,45976,1,40
3,2,1,27312,1,34
1,3,1,44900,1,44
1,3,0,19132,1,39
1,3,0,45340,1,43
1,2,0,97788,1,42
1,4,2,15500,1,39
1,2,0,10000,1,39
3,6,2,41900,1,37
1,4,1,41379,2,32
1,2,2,62834,2,37
1,4,3,24420,2,39
1,3,1,62876,2,40
1,3,2,53910,2,36
1,2,2,57430,2,39
1,3,3,52003,2,40
1,5,1,70372,2,41
1,5,0,38934,2,39
1,2,1,0,2,39
3,2,3,14450,2,39
2,4,4,28000,2,35
3,2,1,38560,2,39
3,3,0,51500,2,39
1,2,5,30200,2,45
1,4,0,36000,2,39
1,2,0,181738,2,39
1,5,2,8176,2,36
1,4,0,16000,2,40
1,5,1,21801,2,43
1,2,0,75580,2,40
2,3,2,33221,2,34
1,3,1,41703,2,43
1,2,3,10200,2,33
1,3,0,14860,2,39
3,2,1,42200,2,45
2,3,0,38010,2,41
1,3,2,9508,2,39
1,2,1,32000,2,42
1,2,1,39578,2,43
1,4,0,37000,2,43
1,4,0,51230,2,40
3,7,0,76082,2,34
1,7,0,23000,2,39
2,2,0,43333,2,40
3,2,1,8580,2,41
1,5,1,71222,2,39
1,3,0,71981,2,41
1,3,1,41215,2,41
1,5,2,69459,2,33
1,5,0,84188,2,43
3,2,2,9159,2,39
1,4,0,31447,2,40
1,4,0,84808,2,43
2,5,3,19108,2,39
1,2,1,43780,2,34
1,3,1,60464,2,37
2,2,0,5200,2,40
3,3,3,29556,2,34
1,3,0,36920,2,34
1,2,0,65793,2,37
3,4,1,25105,2,39
1,2,1,103110,2,39
1,3,0,44000,2,40
1,2,0,72968,2,36
1,5,0,45025,2,43
1,2,1,46774,2,39
1,2,2,40500,2,39
1,2,1,84180,2,35
1,2,0,27983,2,39
3,3,0,41000,2,39
1,2,0,46458,2,39
1,2,2,58805,2,39
1,4,2,13680,2,46
1,4,0,7811,2,43
1,2,0,28762,2,39
1,3,2,48670,2,34
1,3,1,47215,2,43
1,2,0,13886,2,39
1,3,1,26352,2,42
1,3,0,24516,2,34
1,2,3,20000,2,39
